idx,Base salt,Initial loading,Final loading,Fitness
1909,NiBr3,0,3.0,1.146
877,ZnI2,9,12.0,0.703
2949,NiBr3,1,6.0,1.863
3251,GeF4,3,5.0,1.342
1607,NaI,0,2.0,1.668
3737,SrI2,6,9.0,0.822
893,MgI2,6,8.0,0.678
1304,MgBr2,4,12.0,2.108
1180,VF4,0,3.0,2.598
1156,SnF2,0,8.0,2.708
2716,ScF3,0,3.0,2.249
553,YBr3,3,10.0,1.964
660,Pb(IO3)2,1,6.0,1.35
3577,SnF2,9,12.0,0.925
1748,PbBr2,1,4.0,1.451
4182,ZnF2,8,9.0,0.257
1333,MgBr2,2,8.0,2.138
916,Ba(ClO4)2,3,5.0,0.58
23,BeI2,0,8.0,3.377
272,FePO4,1,9.0,2.83
328,LiNO3,0,3.0,2.38
2241,BeCl2,7,9.0,0.509
530,BaI2,1,12.0,1.967
692,Cu(IO3)2,2,6.0,1.24
155,Co3(AsO4)2,0,4.0,1.58
1881,VF4,5,8.0,1.074
4071,ScBr3,3,4.0,0.428
681,YCl3,3,6.0,1.433
168,KF,2,4.0,1.386
333,ZrCl4,0,8.0,2.792
3563,YCl3,2,4.0,0.98
3453,GeCl2,2,4.0,1.081
4001,PbI2,1,2.0,0.54
4024,PbCl2,4,6.0,0.48
3491,ZrBr4,0,2.0,1.123
627,AlAsO4,7,11.0,1.31
2976,NaI,0,3.0,1.771
373,CrBr3,0,9.0,2.6
896,KI,0,1.0,0.683
2237,YCl3,6,8.0,0.546
3590,ScBr3,4,6.0,0.975
558,SrHAsO4,2,7.0,1.54
250,Li2SO4,0,10.0,2.85
1098,ZnF2,1,9.0,2.848
800,KCl,0,1.0,0.928
505,LaBr3,0,9.0,2.113
1503,MoBr4,2,8.0,1.883
1232,YCl3,1,6.0,2.468
491,LiCl,1,4.0,1.997
4063,SnI2,0,1.0,0.451
3006,VCl3,4,9.0,1.571
3292,FeCl2,6,9.0,1.222
79,YBr3,0,9.0,2.468
711,TiF4,2,4.0,1.309
1444,SnF4,3,8.0,1.962
626,YBr3,3,9.0,1.627
1872,BaBr2,7,12.0,1.095
3353,CuI2,6,12.0,1.206
2245,LaBr3,0,1.0,0.596
4176,BaBr2,7,8.0,0.275
1576,LaF3,3,9.0,1.625
416,AlF3,0,2.0,2.525
14,Na2S,5,9.0,1.519
4155,YI3,6,7.0,0.317
1046,BeF2,0,7.0,2.994
4125,CuI2,6,8.0,0.352
1012,Ba(ClO4)2,4,5.0,0.24
4056,HfCl4,4,5.0,0.439
932,BaCO3,5,6.0,0.53
911,LaI3,7,10.0,0.634
787,MgI2,8,12.0,0.997
1845,MgBr2,6,9.0,1.158
4033,SnBr2,6,8.0,0.459
2254,VCl4,3,4.0,0.518
207,CoPO4,0,7.0,3.77
3327,MgF2,1,2.0,1.254
240,AlCl3,0,9.0,3.714
3431,VF4,5,8.0,1.074
2184,KI,0,1.0,0.683
624,ScBr3,0,3.0,1.72
227,VI3,6,9.0,0.675
2325,CaBr2,8,9.0,0.332
2222,RbBr,3,4.0,0.583
2240,YI3,6,8.0,0.579
3013,ZnI2,4,12.0,1.659
151,MnCl4,3,8.0,1.744
694,Zn3(AsO4)2,1,4.0,1.24
1628,SrI2,2,7.0,1.604
57,Ba(OH)2,0,8.0,3.66
1681,MgCl2,0,1.0,1.464
678,NaBrO3,0,2.0,1.23
586,MnCl4,0,3.0,1.809
670,K2HPO4,0,2.0,1.24
952,SnBr4,4,5.0,0.356
2999,YCl3,0,3.0,1.699
1483,SrI2,1,6.0,1.946
3979,CaI2,6,8.0,0.528
3066,MgF2,8,12.0,1.431
1641,YCl3,1,4.0,1.512
1946,NaCl,1,2.0,0.974
1717,GaCl3,0,2.0,1.435
4212,PbI4,8,9.0,0.129
1439,LiCl,0,1.0,1.904
132,ScCl3,0,3.0,1.948
3670,SnBr2,2,4.0,0.91
238,MnAsO4,0,11.0,3.15
556,CaCO3,3,6.0,1.53
4162,PbBr4,4,5.0,0.321
1129,TiF4,0,4.0,2.758
3235,NiF2,4,8.0,1.31
279,VF3,0,6.0,3.296
3626,ZnBr2,7,9.0,0.919
1646,KF,2,4.0,1.386
1284,ZrCl4,0,5.0,2.335
29,ZnCl2,0,12.0,2.926
65,GaCl3,1,9.0,2.539
2435,GeF4,0,3.0,3.388
3120,GeF4,0,1.0,1.585
501,TiF4,0,2.0,2.189
1791,BeCl2,7,12.0,1.12
730,CaHPO4,2,4.0,1.04
904,Mn2As2O7,0,1.0,0.63
1595,VBr3,1,4.0,1.702
1161,YBr3,0,8.0,2.715
2123,ZnBr2,4,6.0,0.776
931,ScI3,6,8.0,0.5
1592,CaI2,2,8.0,1.606
426,SrBr2,1,9.0,2.436
986,Zn3(PO4)2,7,8.0,0.38
763,RbBr,0,2.0,1.126
472,CaCl2,4,12.0,1.954
1843,BaI2,0,2.0,1.277
653,KF,2,4.0,1.386
544,PbCl4,0,5.0,2.052
589,MgI2,1,4.0,1.869
437,Ni3(PO4)2,0,4.0,2.13
481,K2CO3,0,3.0,1.81
1227,SnF4,0,2.0,2.641
825,Mn3(AsO4)2,4,7.0,0.82
