idx,Base salt,Initial loading,Final loading,Fitness,Origin
1446,SrI2,2.0,9.0,2.359720605355064,s
756,NiSO4,0.0,1.0,3.36,e
3473,MgCl2,4.0,9.0,1.4820143884892087,s
1458,GeF4,2.0,5.0,2.1263736263736264,s
4360,PbI2,2.0,4.0,3.6986301369863015,s
953,Zn(CH3COO)2,1.0,2.0,1.59,e
1605,SrI2,6.0,12.0,1.763582966226138,s
1676,MnCl4,3.0,5.0,1.9508547008547008,s
4951,LiOH,0.0,7.0,1.3175182481751824,s
3999,MgI2,2.0,4.0,2.727069351230426,s
1107,MnCl4,2.0,8.0,1.754299754299754,s
5194,Co3(AsO4)2,0.0,7.0,3.0,s
902,UO2Br2,0.0,3.0,3.94,e
4997,LiOH,0.0,3.0,1.0803571428571428,s
3169,VCl2,0.0,8.0,1.5052748473070516,s
2872,CrI3,6.0,9.0,2.4006622516556293,s
431,LaCl3,0.0,1.0,3.0,e
1222,NaF,0.0,4.0,1.5368994551758297,s
2426,GeI4,0.0,8.0,2.9923954372623576,s
886,UF4,0.0,2.0,6.32,e
5309,BaHAsO4,2.0,7.0,2.2575757575757573,s
978,ZnCl2,0.0,1.33,2.48,e
4353,HfF4,0.0,1.0,5.117283950617283,s
4431,LaI3,6.0,9.0,2.68796992481203,s
3362,MgI2,1.0,6.0,2.377032520325203,s
3424,HfF4,2.0,8.0,2.334763948497854,s
1252,SnF4,0.0,4.0,2.5511875511875513,s
470,Mg(ClO4)2,0.0,6.0,2.0,e
3511,CrI3,0.0,6.0,3.063348416289593,s
1059,VCl4,0.0,8.0,1.7217223650385602,s
4968,VPO4,0.0,9.0,1.862637362637363,s
201,CrCl2,0.0,4.0,1.91,e
5420,NaClO4,1.0,3.0,1.8596491228070176,s
3638,ZnCl2,6.0,12.0,1.4285714285714286,s
415,La(NO3)3,3.0,4.0,2.22,e
4476,FeCl2,9.0,12.0,1.458762886597938,s
2360,BaI2,0.0,4.0,3.254237288135593,s
1097,MgBr2,4.0,12.0,1.5286439448875997,s
170,Co(ClO4)2,0.0,6.0,2.94,e
179,CoBr2,0.0,4.0,2.71,e
2490,CaI2,1.0,4.0,2.53763440860215,s
5196,CaHPO4,0.0,3.0,1.989247311827957,s
3858,BaCl2,4.0,9.0,1.904486251808973,s
605,Na2CrO4,0.0,10.0,1.52,e
4875,Co3(AsO4)2,0.0,8.0,3.131578947368421,s
2995,PbCl4,3.0,4.0,2.8407643312101913,s
2961,LaBr3,1.0,2.0,3.594936708860759,s
2187,YBr3,2.0,8.0,2.3144444444444447,s
5358,CrAsO4,7.0,11.0,1.9538461538461536,s
5079,LaAsO4,0.0,9.0,2.2075471698113205,s
3155,ZnCl2,0.0,9.0,1.720188902007084,s
2760,SrCl2,2.0,4.0,1.9277899343544855,s
682,NaI,0.0,2.0,2.48,e
235,CsGa(SeO4)2,0.0,12.0,2.7,e
1332,CaF2,0.0,4.0,1.6891412349183816,s
5301,FeAsO4,0.0,1.0,3.6363636363636367,s
1403,MgBr2,2.0,8.0,1.7453061224489794,s
3618,MnBr4,3.0,8.0,2.472299168975069,s
4599,ZrBr4,2.0,3.0,3.1258278145695364,s
1111,CrI3,0.0,9.0,2.4015486725663715,s
5092,CaHPO4,1.0,7.0,1.5984848484848484,s
398,KCr(SO4)2,6.0,12.0,1.43,e
4199,PbCl2,2.0,4.0,2.927927927927928,s
5589,Mn2P2O7,0.0,1.0,2.9545454545454546,s
5064,LiClO4,1.0,9.0,1.4503311258278144,s
4183,TiBr4,5.0,8.0,2.403465346534653,s
4472,SnF4,4.0,5.0,2.386617100371747,s
808,Sm2(CrO4)3,2.0,7.0,3.1,e
1832,VF2,0.0,12.0,1.4898477157360406,s
1168,AlBr3,6.0,9.0,1.944206008583691,s
3742,SrBr2,0.0,2.0,3.3326359832635983,s
1560,VF3,3.0,6.0,1.976486860304288,s
386,K4Fe(CN)6,0.0,3.0,1.85,e
3173,MgI2,1.0,12.0,1.7363523573200992,s
856,SrCl2,0.0,6.0,1.96,e
4338,NiCl2,1.0,2.0,2.69205298013245,s
2967,ZnI2,6.0,8.0,2.358490566037736,s
101,Ca5Si6O17,3.0,5.5,2.88,e
80,Ca(Al2Si2O6)2,2.0,4.0,2.11,e
795,RbOH,1.0,2.0,2.15,e
3676,NiI2,4.0,12.0,1.919277108433735,s
4059,YCl3,4.0,6.0,2.0527306967984935,s
2446,GaBr3,0.0,3.0,2.903225806451613,s
1048,SrCl2,0.0,12.0,1.3602452733776187,s
3412,YCl3,2.0,8.0,1.808583690987125,s
4779,Na2Se,0.0,5.0,1.7163406214039123,s
2394,MgI2,0.0,2.0,3.1428571428571423,s
2632,LaI3,3.0,6.0,3.1256684491978612,s
5014,SrSO4,0.0,11.0,1.6158536585365857,s
4243,MgBr2,9.0,12.0,1.5290806754221389,s
1672,SrI2,4.0,7.0,2.510362694300518,s
5348,Co2As2O7,2.0,6.0,2.9999999999999996,s
79,Ca(Al2Si2O6)2,3.5,4.0,1.91,e
2093,CaI2,2.0,12.0,1.6800000000000002,s
1497,RbBr,0.0,4.0,1.986254295532646,s
2531,NiCl3,3.0,6.0,1.939117199391172,s
5446,Pb(IO3)2,2.0,6.0,3.655172413793104,s
4369,NiF2,6.0,8.0,1.7615571776155718,s
2777,GaI3,3.0,6.0,3.1292517006802725,s
2580,VBr4,0.0,3.0,3.1467661691542284,s
5445,Ca3(PO4)2,7.0,11.0,2.0408163265306123,s
582,MnSO4,0.0,5.0,2.11,e
3213,SnF4,0.0,3.0,2.8239366963402572,s
5408,CaHAsO4,1.0,3.0,2.28,s
1662,MnCl2,6.0,9.0,1.6252189141856397,s
3332,CrBr4,0.0,8.0,2.5123456790123457,s
5058,Ni3(AsO4)2,0.0,8.0,3.046511627906977,s
4324,CaBr2,4.0,6.0,2.227146814404432,s
2205,GaI3,0.0,9.0,2.448687350835322,s
1219,BeI2,0.0,8.0,2.1454891994917404,s
2752,GaCl3,0.0,1.0,2.270935960591133,s
2878,SiF4,4.0,5.0,1.7984084880636606,s
4836,VPO4,1.0,11.0,1.7848837209302324,s
4776,Li2Se,0.0,9.0,1.5817199459702835,s
4257,SrBr2,4.0,6.0,2.419178082191781,s
324,H2SO4,0.0,6.5,1.54,e
1105,YI3,0.0,6.0,3.067708333333333,s
133,CaSO3,0.5,2.0,2.19,e
4204,SrF2,9.0,12.0,1.490367775831874,s
2137,GaCl3,0.0,4.0,2.1480392156862744,s
3795,PbCl4,0.0,3.0,3.0382293762575454,s
3658,TiCl4,0.0,3.0,1.9902794653705953,s
4999,NiCO3,0.0,5.0,2.0704225352112675,s
3731,TiBr4,3.0,8.0,2.407751937984496,s
1282,TiF4,0.0,4.0,1.890335846470185,s
3775,SrCl2,7.0,12.0,1.360125260960334,s
1947,CaBr2,1.0,12.0,1.4773379231210555,s
5590,VPO4,4.0,5.0,2.2962962962962963,s
2414,BeCl2,4.0,9.0,1.4465408805031446,s
3960,YCl3,1.0,3.0,1.972267536704731,s
1998,CaBr2,0.0,8.0,1.6350710900473933,s
23,AlF3,1.0,9.0,1.33,e
5010,AlAsO4,2.0,11.0,1.8666666666666665,s
157,CdCl2,0.0,1.0,3.21,e
1775,YI3,6.0,8.0,2.6559633027522933,s
4930,Co2SiO4,0.0,1.0,3.423076923076923,s
1877,NiCl2,0.0,12.0,1.4407443682664056,s
2399,NiF2,8.0,12.0,1.5697036223929746,s
506,MgCO3,1.0,3.0,1.61,e
5077,VPO4,4.0,11.0,1.7857142857142858,s
